                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.9619,                 1.2545,                  1.489,                 0.0916,                0.14634,                0.03865,                  0.012,                 3.6834,                  95.74,                  4.097,               0.047839,               0.047839,               0.047839
                     70,                 1.9264,                 1.2449,                 1.4607,                0.26941,                0.25187,                 0.1781,                0.04696,                 2.9699,                 14.451,                 2.6528,               0.047775,               0.047775,               0.047775
                     71,                 1.9315,                 1.1919,                 1.4396,                 0.2334,                0.31707,                0.15481,                0.04019,                 2.9151,                 9.7253,                 2.4998,                0.04771,                0.04771,                0.04771
                     72,                 1.8404,                 1.1251,                 1.3832,                0.36459,                 0.2561,                0.21615,                0.05978,                 2.9368,                 7.3384,                 2.4364,               0.047644,               0.047644,               0.047644
                     73,                 1.8426,                 1.1457,                 1.4148,                 0.4978,                 0.2439,                0.23916,                0.07531,                 2.9247,                 4.1851,                 2.4799,               0.047578,               0.047578,               0.047578
                     74,                 1.8923,                 1.1723,                 1.4126,                0.14681,                0.10976,                0.05163,                0.01607,                 3.3867,                 5.8941,                 3.5589,                0.04751,                0.04751,                0.04751
                     75,                 1.9061,                 1.2465,                 1.4488,                0.08803,                0.09756,                0.01359,                 0.0038,                 3.6513,                 4.1327,                 4.1151,               0.047442,               0.047442,               0.047442
                     76,                 1.9311,                 1.1908,                 1.4029,                0.29593,                0.09756,                0.08133,                0.02172,                  3.464,                 2.5848,                 3.2225,               0.047373,               0.047373,               0.047373
                     77,                 1.9213,                  1.216,                  1.457,                  0.379,                0.20732,                0.17861,                0.06067,                  3.177,                 1.9512,                 2.7735,               0.047302,               0.047302,               0.047302
                     78,                 1.8534,                 1.2649,                 1.4044,                0.35846,                 0.2439,                0.15662,                0.05013,                 3.5517,                  2.333,                 5.2565,               0.047231,               0.047231,               0.047231
                     79,                 1.9094,                 1.3356,                 1.4717,                0.34026,                 0.2561,                0.15231,                0.04506,                 3.5602,                  2.243,                 5.4245,               0.047159,               0.047159,               0.047159
                     80,                 1.8972,                 1.3023,                 1.4596,                0.41062,                0.37805,                0.25606,                0.07791,                 2.9032,                 1.9611,                 2.5316,               0.047087,               0.047087,               0.047087
                     81,                 1.8885,                 1.2505,                  1.471,                0.30922,                 0.2561,                0.15463,                0.04338,                  3.268,                 2.5219,                 3.4398,               0.047013,               0.047013,               0.047013
                     82,                 1.7972,                 1.2586,                 1.3928,                0.30922,                 0.2561,                0.15463,                0.04338,                 3.7301,                 4.8682,                 13.517,               0.046939,               0.046939,               0.046939
                     83,                 1.8951,                 1.2342,                 1.4843,                0.30922,                 0.2561,                0.15463,                0.04338,                 3.9735,                 7.8335,                 40.287,               0.046863,               0.046863,               0.046863
                     84,                 1.8352,                 1.2614,                 1.4364,                0.30922,                 0.2561,                0.15463,                0.04338,                    nan,                    nan,                    nan,               0.046787,               0.046787,               0.046787
                     85,                 1.8675,                 1.2158,                  1.446,                0.30922,                 0.2561,                0.15463,                0.04338,                 3.3121,                 7.3589,                  10.89,                0.04671,                0.04671,                0.04671
                     86,                 2.0777,                 1.3924,                 1.4884,                 0.0075,                0.21951,                0.01044,                0.00435,                 3.7978,                 3.7091,                 5.3792,               0.046632,               0.046632,               0.046632
                     87,                 2.0655,                 1.2822,                 1.4656,                0.72378,                0.38353,                0.53665,                0.18961,                 2.4887,                 2.7701,                 1.7349,               0.046553,               0.046553,               0.046553
                     88,                 1.8703,                 1.6044,                 1.3662,                0.01958,                0.57317,                0.04268,                0.01563,                 2.1254,                 3.9592,                 1.7968,               0.046474,               0.046474,               0.046474
                     89,                 2.0337,                 1.5333,                  1.537,                 0.7629,                0.35366,                0.56554,                0.25905,                 1.9828,                 2.2115,                  1.779,               0.046393,               0.046393,               0.046393
                     90,                 1.9414,                 1.4597,                 1.5135,                 0.5916,                0.63598,                0.62582,                0.29569,                 1.9738,                 1.8318,                 1.6661,               0.046312,               0.046312,               0.046312
                     91,                 2.0406,                 1.4064,                 1.5568,                0.63188,                0.58537,                0.65752,                0.34968,                 1.8724,                  1.753,                 1.6451,                0.04623,                0.04623,                0.04623
                     92,                 1.9231,                 1.2893,                 1.4915,                0.24561,                0.26829,                0.14975,                0.04288,                  2.968,                 2.0702,                 2.5115,               0.046147,               0.046147,               0.046147
                     93,                 1.8399,                 1.1828,                 1.4128,                0.28523,                  0.219,                0.17337,                0.05184,                 2.9722,                 2.1136,                 2.5567,               0.046063,               0.046063,               0.046063
                     94,                 1.8026,                 1.1953,                 1.4156,                0.44549,                0.45122,                0.38229,                 0.1241,                 2.4906,                 1.7971,                 2.0618,               0.045979,               0.045979,               0.045979
                     95,                 1.7711,                 1.1575,                 1.3902,                0.63297,                0.62195,                0.65042,                0.25028,                 2.1135,                 1.3266,                 1.7069,               0.045893,               0.045893,               0.045893
                     96,                  1.907,                 1.1388,                  1.426,                0.55808,                0.52364,                0.49421,                 0.1745,                 2.5042,                 1.4074,                 1.9931,               0.045807,               0.045807,               0.045807
                     97,                 1.8229,                 1.1195,                 1.4258,                0.37168,                0.26829,                0.22235,                 0.0697,                 2.7241,                 3.7698,                 2.5358,                0.04572,                0.04572,                0.04572
